system,shots,mean,lo,hi,n
emb:all-MiniLM-L6-v2+logreg,1,0.4538,0.4272,0.4799,10
emb:all-MiniLM-L6-v2+logreg,2,0.5759,0.5402,0.6107,10
emb:all-MiniLM-L6-v2+logreg,3,0.6297,0.6095,0.6520,10
emb:all-MiniLM-L6-v2+logreg,5,0.6887,0.6624,0.7132,10
emb:all-MiniLM-L6-v2+logreg,10,0.7545,0.7316,0.7725,10
emb:all-MiniLM-L6-v2+logreg,20,0.7885,0.7704,0.8045,10
emb:all-MiniLM-L6-v2+logreg,50,0.8133,0.8013,0.8231,10
emb:all-MiniLM-L6-v2+logreg,100,0.8257,0.8157,0.8325,10
hv_expert_logreg,1,0.7249,0.6539,0.7890,10
hv_expert_logreg,2,0.8105,0.7654,0.8387,10
hv_expert_logreg,3,0.8211,0.7847,0.8438,10
hv_expert_logreg,5,0.8407,0.8306,0.8491,10
hv_expert_logreg,10,0.8533,0.8478,0.8580,10
hv_expert_logreg,20,0.8527,0.8482,0.8571,10
hv_expert_logreg,50,0.8566,0.8520,0.8605,10
hv_expert_logreg,100,0.8619,0.8595,0.8644,10
hv_expert_rf,1,0.7198,0.6896,0.7459,10
hv_expert_rf,2,0.7864,0.7492,0.8176,10
hv_expert_rf,3,0.8337,0.8204,0.8465,10
hv_expert_rf,5,0.8292,0.8064,0.8441,10
hv_expert_rf,10,0.8477,0.8407,0.8550,10
hv_expert_rf,20,0.8611,0.8523,0.8688,10
hv_expert_rf,50,0.8758,0.8715,0.8798,10
hv_expert_rf,100,0.8841,0.8812,0.8871,10
hv_prior_fixed,1,0.8580,0.8580,0.8580,10
hv_prior_fixed,2,0.8580,0.8580,0.8580,10
hv_prior_fixed,3,0.8580,0.8580,0.8580,10
hv_prior_fixed,5,0.8580,0.8580,0.8580,10
hv_prior_fixed,10,0.8580,0.8580,0.8580,10
hv_prior_fixed,20,0.8580,0.8580,0.8580,10
hv_prior_fixed,50,0.8580,0.8580,0.8580,10
hv_prior_fixed,100,0.8580,0.8580,0.8580,10
hv_prior_reweight,1,0.7863,0.7262,0.8364,10
hv_prior_reweight,2,0.8488,0.8405,0.8568,10
hv_prior_reweight,3,0.8478,0.8435,0.8524,10
hv_prior_reweight,5,0.8467,0.8444,0.8489,10
hv_prior_reweight,10,0.8451,0.8373,0.8516,10
hv_prior_reweight,20,0.8519,0.8463,0.8568,10
hv_prior_reweight,50,0.8546,0.8504,0.8586,10
hv_prior_reweight,100,0.8594,0.8563,0.8621,10
tfidf_char+logreg,1,0.3267,0.3106,0.3431,10
tfidf_char+logreg,2,0.3745,0.3518,0.3992,10
tfidf_char+logreg,3,0.4143,0.3926,0.4353,10
tfidf_char+logreg,5,0.4761,0.4570,0.4956,10
tfidf_char+logreg,10,0.5781,0.5520,0.6034,10
tfidf_char+logreg,20,0.6613,0.6459,0.6750,10
tfidf_char+logreg,50,0.7511,0.7431,0.7588,10
tfidf_char+logreg,100,0.7954,0.7891,0.8017,10
tfidf_word+char+logreg,1,0.3211,0.3022,0.3406,10
tfidf_word+char+logreg,2,0.3669,0.3422,0.3945,10
tfidf_word+char+logreg,3,0.4110,0.3884,0.4331,10
tfidf_word+char+logreg,5,0.4719,0.4507,0.4921,10
tfidf_word+char+logreg,10,0.5768,0.5500,0.6019,10
tfidf_word+char+logreg,20,0.6649,0.6521,0.6771,10
tfidf_word+char+logreg,50,0.7594,0.7493,0.7691,10
tfidf_word+char+logreg,100,0.8046,0.7973,0.8118,10
tfidf_word+logreg,1,0.3061,0.2877,0.3239,10
tfidf_word+logreg,2,0.3474,0.3271,0.3703,10
tfidf_word+logreg,3,0.3803,0.3589,0.4019,10
tfidf_word+logreg,5,0.4324,0.4117,0.4522,10
tfidf_word+logreg,10,0.5318,0.5085,0.5536,10
tfidf_word+logreg,20,0.6225,0.6101,0.6354,10
tfidf_word+logreg,50,0.7273,0.7164,0.7372,10
tfidf_word+logreg,100,0.7845,0.7792,0.7894,10
zeroshot_nli,1,0.8920,0.8920,0.8920,10
zeroshot_nli,2,0.8920,0.8920,0.8920,10
zeroshot_nli,3,0.8920,0.8920,0.8920,10
zeroshot_nli,5,0.8920,0.8920,0.8920,10
zeroshot_nli,10,0.8920,0.8920,0.8920,10
zeroshot_nli,20,0.8920,0.8920,0.8920,10
zeroshot_nli,50,0.8920,0.8920,0.8920,10
zeroshot_nli,100,0.8920,0.8920,0.8920,10
