system,shots,mean,lo,hi,n
emb:all-MiniLM-L6-v2+logreg,1,0.4404,0.4128,0.4699,10
emb:all-MiniLM-L6-v2+logreg,2,0.5713,0.5347,0.6071,10
emb:all-MiniLM-L6-v2+logreg,3,0.6261,0.6061,0.6471,10
emb:all-MiniLM-L6-v2+logreg,5,0.6876,0.6627,0.7116,10
emb:all-MiniLM-L6-v2+logreg,10,0.7526,0.7288,0.7716,10
emb:all-MiniLM-L6-v2+logreg,20,0.7878,0.7689,0.8041,10
emb:all-MiniLM-L6-v2+logreg,50,0.8125,0.8005,0.8224,10
emb:all-MiniLM-L6-v2+logreg,100,0.8253,0.8152,0.8324,10
hv_expert_logreg,1,0.7140,0.6386,0.7831,10
hv_expert_logreg,2,0.8072,0.7564,0.8389,10
hv_expert_logreg,3,0.8177,0.7751,0.8439,10
hv_expert_logreg,5,0.8403,0.8295,0.8495,10
hv_expert_logreg,10,0.8533,0.8475,0.8583,10
hv_expert_logreg,20,0.8528,0.8485,0.8572,10
hv_expert_logreg,50,0.8563,0.8515,0.8604,10
hv_expert_logreg,100,0.8619,0.8594,0.8643,10
hv_expert_rf,1,0.7075,0.6757,0.7365,10
hv_expert_rf,2,0.7824,0.7435,0.8151,10
hv_expert_rf,3,0.8332,0.8202,0.8459,10
hv_expert_rf,5,0.8283,0.8053,0.8437,10
hv_expert_rf,10,0.8473,0.8406,0.8545,10
hv_expert_rf,20,0.8609,0.8520,0.8685,10
hv_expert_rf,50,0.8754,0.8712,0.8794,10
hv_expert_rf,100,0.8837,0.8805,0.8866,10
hv_prior_fixed,1,0.8579,0.8579,0.8579,10
hv_prior_fixed,2,0.8579,0.8579,0.8579,10
hv_prior_fixed,3,0.8579,0.8579,0.8579,10
hv_prior_fixed,5,0.8579,0.8579,0.8579,10
hv_prior_fixed,10,0.8579,0.8579,0.8579,10
hv_prior_fixed,20,0.8579,0.8579,0.8579,10
hv_prior_fixed,50,0.8579,0.8579,0.8579,10
hv_prior_fixed,100,0.8579,0.8579,0.8579,10
hv_prior_reweight,1,0.7765,0.7083,0.8340,10
hv_prior_reweight,2,0.8484,0.8398,0.8566,10
hv_prior_reweight,3,0.8480,0.8435,0.8531,10
hv_prior_reweight,5,0.8469,0.8444,0.8493,10
hv_prior_reweight,10,0.8449,0.8363,0.8517,10
hv_prior_reweight,20,0.8518,0.8461,0.8568,10
hv_prior_reweight,50,0.8546,0.8504,0.8588,10
hv_prior_reweight,100,0.8596,0.8565,0.8623,10
tfidf_char+logreg,1,0.3082,0.2856,0.3293,10
tfidf_char+logreg,2,0.3661,0.3362,0.3953,10
tfidf_char+logreg,3,0.4058,0.3831,0.4283,10
tfidf_char+logreg,5,0.4732,0.4531,0.4936,10
tfidf_char+logreg,10,0.5769,0.5503,0.6027,10
tfidf_char+logreg,20,0.6591,0.6422,0.6741,10
tfidf_char+logreg,50,0.7488,0.7399,0.7570,10
tfidf_char+logreg,100,0.7934,0.7867,0.8000,10
tfidf_word+char+logreg,1,0.3046,0.2817,0.3277,10
tfidf_word+char+logreg,2,0.3581,0.3287,0.3884,10
tfidf_word+char+logreg,3,0.4028,0.3794,0.4252,10
tfidf_word+char+logreg,5,0.4681,0.4455,0.4906,10
tfidf_word+char+logreg,10,0.5746,0.5462,0.6010,10
tfidf_word+char+logreg,20,0.6629,0.6484,0.6765,10
tfidf_word+char+logreg,50,0.7571,0.7461,0.7675,10
tfidf_word+char+logreg,100,0.8024,0.7947,0.8100,10
tfidf_word+logreg,1,0.2915,0.2701,0.3121,10
tfidf_word+logreg,2,0.3397,0.3169,0.3640,10
tfidf_word+logreg,3,0.3724,0.3520,0.3926,10
tfidf_word+logreg,5,0.4274,0.4056,0.4485,10
tfidf_word+logreg,10,0.5286,0.5042,0.5520,10
tfidf_word+logreg,20,0.6203,0.6072,0.6340,10
tfidf_word+logreg,50,0.7245,0.7132,0.7351,10
tfidf_word+logreg,100,0.7823,0.7766,0.7875,10
zeroshot_nli,1,0.8916,0.8916,0.8916,10
zeroshot_nli,2,0.8916,0.8916,0.8916,10
zeroshot_nli,3,0.8916,0.8916,0.8916,10
zeroshot_nli,5,0.8916,0.8916,0.8916,10
zeroshot_nli,10,0.8916,0.8916,0.8916,10
zeroshot_nli,20,0.8916,0.8916,0.8916,10
zeroshot_nli,50,0.8916,0.8916,0.8916,10
zeroshot_nli,100,0.8916,0.8916,0.8916,10
