system,shots,mean,lo,hi,n
emb:all-MiniLM-L6-v2+logreg,1,0.5348,0.5217,0.5469,10
emb:all-MiniLM-L6-v2+logreg,2,0.6626,0.6510,0.6748,10
emb:all-MiniLM-L6-v2+logreg,3,0.7307,0.7216,0.7395,10
emb:all-MiniLM-L6-v2+logreg,5,0.7918,0.7860,0.7969,10
emb:all-MiniLM-L6-v2+logreg,10,0.8507,0.8467,0.8540,10
emb:all-MiniLM-L6-v2+logreg,20,0.8858,0.8842,0.8872,5
hv_expert_logreg,1,0.3064,0.2931,0.3194,10
hv_expert_logreg,2,0.3800,0.3735,0.3869,10
hv_expert_logreg,3,0.4255,0.4181,0.4338,10
hv_expert_logreg,5,0.4683,0.4636,0.4729,10
hv_expert_logreg,10,0.5236,0.5194,0.5272,10
hv_expert_logreg,20,0.5679,0.5617,0.5741,5
hv_expert_rf,1,0.2986,0.2875,0.3107,10
hv_expert_rf,2,0.4337,0.4224,0.4423,10
hv_expert_rf,3,0.5062,0.4954,0.5145,10
hv_expert_rf,5,0.5801,0.5746,0.5851,10
hv_expert_rf,10,0.6687,0.6628,0.6742,10
hv_expert_rf,20,0.7308,0.7261,0.7355,5
hv_prior_fixed,1,0.2308,0.2308,0.2308,10
hv_prior_fixed,2,0.2308,0.2308,0.2308,10
hv_prior_fixed,3,0.2308,0.2308,0.2308,10
hv_prior_fixed,5,0.2308,0.2308,0.2308,10
hv_prior_fixed,10,0.2308,0.2308,0.2308,10
hv_prior_fixed,20,0.2308,0.2308,0.2308,5
hv_prior_reweight,1,0.2312,0.2222,0.2411,10
hv_prior_reweight,2,0.2780,0.2690,0.2869,10
hv_prior_reweight,3,0.3015,0.2936,0.3105,10
hv_prior_reweight,5,0.3202,0.3119,0.3284,10
hv_prior_reweight,10,0.3389,0.3321,0.3450,10
hv_prior_reweight,20,0.3675,0.3614,0.3737,5
tfidf_char+logreg,1,0.3513,0.3367,0.3633,10
tfidf_char+logreg,2,0.4651,0.4549,0.4754,10
tfidf_char+logreg,3,0.5371,0.5310,0.5431,10
tfidf_char+logreg,5,0.6070,0.5992,0.6138,10
tfidf_char+logreg,10,0.6925,0.6872,0.6978,10
tfidf_char+logreg,20,0.7670,0.7607,0.7734,6
tfidf_word+char+logreg,1,0.3345,0.3247,0.3446,10
tfidf_word+char+logreg,2,0.4609,0.4496,0.4711,10
tfidf_word+char+logreg,3,0.5421,0.5315,0.5511,10
tfidf_word+char+logreg,5,0.6257,0.6189,0.6328,10
tfidf_word+char+logreg,10,0.7225,0.7160,0.7285,10
tfidf_word+char+logreg,20,0.8009,0.7929,0.8079,6
tfidf_word+logreg,1,0.2592,0.2487,0.2707,10
tfidf_word+logreg,2,0.3749,0.3634,0.3854,10
tfidf_word+logreg,3,0.4472,0.4339,0.4584,10
tfidf_word+logreg,5,0.5313,0.5224,0.5395,10
tfidf_word+logreg,10,0.6427,0.6360,0.6489,10
tfidf_word+logreg,20,0.7297,0.7220,0.7383,6
zeroshot_nli,1,0.4106,0.4106,0.4106,10
zeroshot_nli,2,0.4106,0.4106,0.4106,10
zeroshot_nli,3,0.4106,0.4106,0.4106,10
zeroshot_nli,5,0.4106,0.4106,0.4106,10
zeroshot_nli,10,0.4106,0.4106,0.4106,10
zeroshot_nli,20,0.4106,0.4106,0.4106,5
