system,shots,mean,lo,hi,n
emb:all-MiniLM-L6-v2+logreg,1,0.5152,0.5000,0.5289,10
emb:all-MiniLM-L6-v2+logreg,2,0.6537,0.6412,0.6671,10
emb:all-MiniLM-L6-v2+logreg,3,0.7263,0.7175,0.7347,10
emb:all-MiniLM-L6-v2+logreg,5,0.7899,0.7841,0.7950,10
emb:all-MiniLM-L6-v2+logreg,10,0.8501,0.8461,0.8534,10
emb:all-MiniLM-L6-v2+logreg,20,0.8856,0.8841,0.8869,5
hv_expert_logreg,1,0.2878,0.2754,0.2999,10
hv_expert_logreg,2,0.3558,0.3435,0.3671,10
hv_expert_logreg,3,0.4079,0.3964,0.4203,10
hv_expert_logreg,5,0.4617,0.4570,0.4662,10
hv_expert_logreg,10,0.5178,0.5142,0.5211,10
hv_expert_logreg,20,0.5642,0.5582,0.5701,5
hv_expert_rf,1,0.2751,0.2651,0.2858,10
hv_expert_rf,2,0.4113,0.3991,0.4210,10
hv_expert_rf,3,0.4872,0.4764,0.4960,10
hv_expert_rf,5,0.5675,0.5622,0.5728,10
hv_expert_rf,10,0.6612,0.6549,0.6672,10
hv_expert_rf,20,0.7271,0.7224,0.7318,5
hv_prior_fixed,1,0.1218,0.1218,0.1218,10
hv_prior_fixed,2,0.1218,0.1218,0.1218,10
hv_prior_fixed,3,0.1218,0.1218,0.1218,10
hv_prior_fixed,5,0.1218,0.1218,0.1218,10
hv_prior_fixed,10,0.1218,0.1218,0.1218,10
hv_prior_fixed,20,0.1218,0.1218,0.1218,5
hv_prior_reweight,1,0.1986,0.1911,0.2067,10
hv_prior_reweight,2,0.2474,0.2382,0.2569,10
hv_prior_reweight,3,0.2739,0.2655,0.2842,10
hv_prior_reweight,5,0.2966,0.2896,0.3038,10
hv_prior_reweight,10,0.3201,0.3150,0.3249,10
hv_prior_reweight,20,0.3495,0.3455,0.3535,5
tfidf_char+logreg,1,0.3375,0.3248,0.3483,10
tfidf_char+logreg,2,0.4476,0.4371,0.4585,10
tfidf_char+logreg,3,0.5218,0.5157,0.5283,10
tfidf_char+logreg,5,0.5941,0.5857,0.6016,10
tfidf_char+logreg,10,0.6857,0.6800,0.6919,10
tfidf_char+logreg,20,0.7642,0.7577,0.7708,6
tfidf_word+char+logreg,1,0.3235,0.3144,0.3325,10
tfidf_word+char+logreg,2,0.4484,0.4375,0.4588,10
tfidf_word+char+logreg,3,0.5306,0.5207,0.5386,10
tfidf_word+char+logreg,5,0.6170,0.6104,0.6240,10
tfidf_word+char+logreg,10,0.7184,0.7114,0.7251,10
tfidf_word+char+logreg,20,0.7998,0.7919,0.8069,6
tfidf_word+logreg,1,0.2515,0.2403,0.2628,10
tfidf_word+logreg,2,0.3628,0.3510,0.3738,10
tfidf_word+logreg,3,0.4369,0.4254,0.4472,10
tfidf_word+logreg,5,0.5204,0.5118,0.5286,10
tfidf_word+logreg,10,0.6353,0.6274,0.6426,10
tfidf_word+logreg,20,0.7245,0.7161,0.7340,6
zeroshot_nli,1,0.4108,0.4108,0.4108,10
zeroshot_nli,2,0.4108,0.4108,0.4108,10
zeroshot_nli,3,0.4108,0.4108,0.4108,10
zeroshot_nli,5,0.4108,0.4108,0.4108,10
zeroshot_nli,10,0.4108,0.4108,0.4108,10
zeroshot_nli,20,0.4108,0.4108,0.4108,5
