system,shots,mean,lo,hi,n
emb:all-MiniLM-L6-v2+logreg,1,0.5344,0.5219,0.5463,5
emb:all-MiniLM-L6-v2+logreg,2,0.6725,0.6585,0.6865,5
emb:all-MiniLM-L6-v2+logreg,3,0.7341,0.7197,0.7436,5
emb:all-MiniLM-L6-v2+logreg,5,0.7886,0.7796,0.7976,5
emb:all-MiniLM-L6-v2+logreg,10,0.8511,0.8457,0.8555,5
emb:all-MiniLM-L6-v2+logreg,20,0.8858,0.8842,0.8872,5
hv_expert_logreg,1,0.3116,0.2915,0.3310,5
hv_expert_logreg,2,0.3804,0.3700,0.3908,5
hv_expert_logreg,3,0.4225,0.4137,0.4333,5
hv_expert_logreg,5,0.4706,0.4652,0.4761,5
hv_expert_logreg,10,0.5247,0.5179,0.5293,5
hv_expert_logreg,20,0.5679,0.5617,0.5741,5
hv_expert_rf,1,0.3091,0.2927,0.3259,5
hv_expert_rf,2,0.4381,0.4272,0.4480,5
hv_expert_rf,3,0.5101,0.5013,0.5189,5
hv_expert_rf,5,0.5802,0.5686,0.5902,5
hv_expert_rf,10,0.6677,0.6581,0.6770,5
hv_expert_rf,20,0.7308,0.7261,0.7355,5
hv_gen256_logreg,1,0.5298,0.5147,0.5452,5
hv_gen256_logreg,2,0.6675,0.6592,0.6753,5
hv_gen256_logreg,3,0.7286,0.7192,0.7395,5
hv_gen256_logreg,5,0.7731,0.7662,0.7807,5
hv_gen256_logreg,10,0.8238,0.8202,0.8273,5
hv_gen256_logreg,20,0.8590,0.8552,0.8622,5
hv_gen256_prior_fixed,1,0.3916,0.3916,0.3916,5
hv_gen256_prior_fixed,2,0.3916,0.3916,0.3916,5
hv_gen256_prior_fixed,3,0.3916,0.3916,0.3916,5
hv_gen256_prior_fixed,5,0.3916,0.3916,0.3916,5
hv_gen256_prior_fixed,10,0.3916,0.3916,0.3916,5
hv_gen256_prior_fixed,20,0.3916,0.3916,0.3916,5
hv_gen256_rf,1,0.4739,0.4479,0.4985,5
hv_gen256_rf,2,0.6457,0.6370,0.6549,5
hv_gen256_rf,3,0.7044,0.6972,0.7113,5
hv_gen256_rf,5,0.7577,0.7529,0.7641,5
hv_gen256_rf,10,0.8056,0.7997,0.8125,5
hv_gen256_rf,20,0.8448,0.8389,0.8505,5
hv_prior_fixed,1,0.2308,0.2308,0.2308,5
hv_prior_fixed,2,0.2308,0.2308,0.2308,5
hv_prior_fixed,3,0.2308,0.2308,0.2308,5
hv_prior_fixed,5,0.2308,0.2308,0.2308,5
hv_prior_fixed,10,0.2308,0.2308,0.2308,5
hv_prior_fixed,20,0.2308,0.2308,0.2308,5
hv_prior_reweight,1,0.2324,0.2178,0.2475,5
hv_prior_reweight,2,0.2816,0.2667,0.2946,5
hv_prior_reweight,3,0.3074,0.3006,0.3142,5
hv_prior_reweight,5,0.3272,0.3200,0.3382,5
hv_prior_reweight,10,0.3465,0.3426,0.3513,5
hv_prior_reweight,20,0.3675,0.3614,0.3737,5
tfidf_char+logreg,1,0.3604,0.3536,0.3686,5
tfidf_char+logreg,2,0.4711,0.4589,0.4832,5
tfidf_char+logreg,3,0.5388,0.5285,0.5487,5
tfidf_char+logreg,5,0.6086,0.5962,0.6161,5
tfidf_char+logreg,10,0.6932,0.6845,0.7020,5
tfidf_char+logreg,20,0.7669,0.7592,0.7746,5
tfidf_word+char+logreg,1,0.3408,0.3296,0.3524,5
tfidf_word+char+logreg,2,0.4640,0.4500,0.4765,5
tfidf_word+char+logreg,3,0.5451,0.5342,0.5538,5
tfidf_word+char+logreg,5,0.6238,0.6155,0.6330,5
tfidf_word+char+logreg,10,0.7221,0.7111,0.7331,5
tfidf_word+char+logreg,20,0.7999,0.7909,0.8085,5
tfidf_word+logreg,1,0.2631,0.2468,0.2800,5
tfidf_word+logreg,2,0.3756,0.3607,0.3898,5
tfidf_word+logreg,3,0.4496,0.4319,0.4631,5
tfidf_word+logreg,5,0.5337,0.5213,0.5417,5
tfidf_word+logreg,10,0.6429,0.6314,0.6521,5
tfidf_word+logreg,20,0.7306,0.7210,0.7402,5
zeroshot_nli,1,0.4106,0.4106,0.4106,5
zeroshot_nli,2,0.4106,0.4106,0.4106,5
zeroshot_nli,3,0.4106,0.4106,0.4106,5
zeroshot_nli,5,0.4106,0.4106,0.4106,5
zeroshot_nli,10,0.4106,0.4106,0.4106,5
zeroshot_nli,20,0.4106,0.4106,0.4106,5
