system,shots,mean,lo,hi,n
emb:all-MiniLM-L6-v2+logreg,1,0.3008,0.2666,0.3344,10
emb:all-MiniLM-L6-v2+logreg,2,0.3996,0.3642,0.4288,10
emb:all-MiniLM-L6-v2+logreg,3,0.4310,0.4060,0.4568,10
emb:all-MiniLM-L6-v2+logreg,5,0.4864,0.4574,0.5150,10
emb:all-MiniLM-L6-v2+logreg,10,0.5738,0.5460,0.5998,10
emb:all-MiniLM-L6-v2+logreg,20,0.6486,0.6286,0.6704,10
emb:all-MiniLM-L6-v2+logreg,50,0.7028,0.6856,0.7192,10
hv_evolved_logreg,1,0.3836,0.3328,0.4326,10
hv_evolved_logreg,2,0.5888,0.5584,0.6188,10
hv_evolved_logreg,3,0.6644,0.6280,0.6936,10
hv_evolved_logreg,5,0.7400,0.7034,0.7704,10
hv_evolved_logreg,10,0.8102,0.7750,0.8410,10
hv_evolved_logreg,20,0.8506,0.8134,0.8760,10
hv_evolved_logreg,50,0.8928,0.8814,0.9042,10
hv_evolved_prior_fixed,1,0.5440,0.5440,0.5440,10
hv_evolved_prior_fixed,2,0.5440,0.5440,0.5440,10
hv_evolved_prior_fixed,3,0.5440,0.5440,0.5440,10
hv_evolved_prior_fixed,5,0.5440,0.5440,0.5440,10
hv_evolved_prior_fixed,10,0.5440,0.5440,0.5440,10
hv_evolved_prior_fixed,20,0.5440,0.5440,0.5440,10
hv_evolved_prior_fixed,50,0.5440,0.5440,0.5440,10
hv_evolved_rf,1,0.4492,0.3898,0.5030,10
hv_evolved_rf,2,0.6240,0.5660,0.6780,10
hv_evolved_rf,3,0.7028,0.6434,0.7596,10
hv_evolved_rf,5,0.7836,0.7542,0.8080,10
hv_evolved_rf,10,0.8336,0.8080,0.8570,10
hv_evolved_rf,20,0.8732,0.8600,0.8858,10
hv_evolved_rf,50,0.8942,0.8834,0.9050,10
hv_expert_logreg,1,0.3644,0.3240,0.4080,10
hv_expert_logreg,2,0.5172,0.4788,0.5540,10
hv_expert_logreg,3,0.5470,0.5126,0.5794,10
hv_expert_logreg,5,0.6044,0.5698,0.6396,10
hv_expert_logreg,10,0.7124,0.6832,0.7384,10
hv_expert_logreg,20,0.7250,0.6836,0.7672,10
hv_expert_logreg,50,0.7462,0.7338,0.7564,10
hv_expert_rf,1,0.4736,0.4264,0.5360,10
hv_expert_rf,2,0.5966,0.5554,0.6482,10
hv_expert_rf,3,0.6418,0.5782,0.7096,10
hv_expert_rf,5,0.6820,0.6354,0.7356,10
hv_expert_rf,10,0.7530,0.7072,0.7964,10
hv_expert_rf,20,0.8022,0.7768,0.8278,10
hv_expert_rf,50,0.8490,0.8290,0.8658,10
hv_prior_fixed,1,0.5940,0.5940,0.5940,10
hv_prior_fixed,2,0.5940,0.5940,0.5940,10
hv_prior_fixed,3,0.5940,0.5940,0.5940,10
hv_prior_fixed,5,0.5940,0.5940,0.5940,10
hv_prior_fixed,10,0.5940,0.5940,0.5940,10
hv_prior_fixed,20,0.5940,0.5940,0.5940,10
hv_prior_fixed,50,0.5940,0.5940,0.5940,10
hv_prior_reweight,1,0.5564,0.5210,0.5956,10
