system,shots,mean,lo,hi,n
emb:all-MiniLM-L6-v2+logreg,1,0.2793,0.2500,0.3092,10
emb:all-MiniLM-L6-v2+logreg,2,0.3777,0.3461,0.4024,10
emb:all-MiniLM-L6-v2+logreg,3,0.4107,0.3845,0.4381,10
emb:all-MiniLM-L6-v2+logreg,5,0.4583,0.4270,0.4880,10
emb:all-MiniLM-L6-v2+logreg,10,0.5383,0.5112,0.5636,10
emb:all-MiniLM-L6-v2+logreg,20,0.6109,0.5900,0.6322,10
emb:all-MiniLM-L6-v2+logreg,50,0.6584,0.6409,0.6768,10
emb:all-MiniLM-L6-v2+logreg,100,0.6920,0.6776,0.7042,10
emb:all-MiniLM-L6-v2+logreg,all,0.8158,0.8154,0.8164,10
finetune:distilbert-base-uncased,1,0.2366,0.2081,0.2651,5
finetune:distilbert-base-uncased,2,0.2818,0.2393,0.3184,5
finetune:distilbert-base-uncased,3,0.3487,0.2847,0.4191,5
finetune:distilbert-base-uncased,5,0.5173,0.4667,0.5599,5
finetune:distilbert-base-uncased,10,0.7217,0.6704,0.7699,5
finetune:distilbert-base-uncased,20,0.8012,0.7607,0.8466,5
finetune:distilbert-base-uncased,50,0.8769,0.8661,0.8885,5
finetune:distilbert-base-uncased,100,0.8913,0.8776,0.9054,5
finetune:distilbert-base-uncased,all,0.9596,0.9557,0.9636,5
hv_expert_logreg,1,0.3641,0.3228,0.4058,10
hv_expert_logreg,2,0.5122,0.4793,0.5441,10
hv_expert_logreg,3,0.5387,0.5083,0.5662,10
hv_expert_logreg,5,0.5830,0.5491,0.6123,10
hv_expert_logreg,10,0.6770,0.6555,0.6956,10
hv_expert_logreg,20,0.6937,0.6623,0.7262,10
hv_expert_logreg,50,0.7086,0.6983,0.7168,10
hv_expert_logreg,100,0.7378,0.7315,0.7438,10
hv_expert_logreg,all,0.8696,0.8656,0.8736,10
hv_expert_rf,1,0.4558,0.4164,0.5056,10
hv_expert_rf,2,0.5700,0.5305,0.6128,10
hv_expert_rf,3,0.6119,0.5510,0.6765,10
hv_expert_rf,5,0.6531,0.6094,0.7047,10
hv_expert_rf,10,0.7154,0.6732,0.7549,10
hv_expert_rf,20,0.7567,0.7339,0.7805,10
hv_expert_rf,50,0.7960,0.7785,0.8112,10
hv_expert_rf,100,0.8386,0.8272,0.8500,10
hv_expert_rf,all,0.9448,0.9400,0.9499,10
hv_prior_fixed,1,0.5941,0.5941,0.5941,10
hv_prior_fixed,2,0.5941,0.5941,0.5941,10
hv_prior_fixed,3,0.5941,0.5941,0.5941,10
hv_prior_fixed,5,0.5941,0.5941,0.5941,10
hv_prior_fixed,10,0.5941,0.5941,0.5941,10
hv_prior_fixed,20,0.5941,0.5941,0.5941,10
hv_prior_fixed,50,0.5941,0.5941,0.5941,10
hv_prior_fixed,100,0.5941,0.5941,0.5941,10
hv_prior_fixed,all,0.5941,0.5941,0.5941,10
hv_prior_reweight,1,0.5368,0.4997,0.5765,10
hv_prior_reweight,2,0.6075,0.5942,0.6226,10
hv_prior_reweight,3,0.6219,0.6103,0.6357,10
hv_prior_reweight,5,0.6391,0.6241,0.6598,10
hv_prior_reweight,10,0.6556,0.6413,0.6699,10
hv_prior_reweight,20,0.6558,0.6444,0.6656,10
hv_prior_reweight,50,0.6595,0.6533,0.6644,10
hv_prior_reweight,100,0.6703,0.6639,0.6762,10
hv_prior_reweight,all,0.8193,0.8193,0.8193,10
tfidf_char+logreg,1,0.2649,0.2285,0.2990,10
tfidf_char+logreg,2,0.3419,0.2860,0.3916,10
tfidf_char+logreg,3,0.3627,0.3112,0.4106,10
tfidf_char+logreg,5,0.4075,0.3586,0.4530,10
tfidf_char+logreg,10,0.4514,0.4111,0.4889,10
tfidf_char+logreg,20,0.5348,0.5056,0.5623,10
tfidf_char+logreg,50,0.6125,0.5918,0.6312,10
tfidf_char+logreg,100,0.7059,0.6873,0.7217,10
tfidf_char+logreg,all,0.8510,0.8510,0.8510,10
tfidf_word+char+logreg,1,0.2847,0.2425,0.3203,10
tfidf_word+char+logreg,2,0.3663,0.2937,0.4287,10
tfidf_word+char+logreg,3,0.3911,0.3335,0.4458,10
tfidf_word+char+logreg,5,0.4266,0.3726,0.4815,10
tfidf_word+char+logreg,10,0.4822,0.4377,0.5255,10
tfidf_word+char+logreg,20,0.5558,0.5108,0.5947,10
tfidf_word+char+logreg,50,0.6091,0.5750,0.6384,10
tfidf_word+char+logreg,100,0.6811,0.6495,0.7110,10
tfidf_word+char+logreg,all,0.8669,0.8669,0.8669,10
tfidf_word+logreg,1,0.3025,0.2535,0.3457,10
tfidf_word+logreg,2,0.3513,0.2860,0.4081,10
tfidf_word+logreg,3,0.3686,0.3086,0.4264,10
tfidf_word+logreg,5,0.4091,0.3545,0.4639,10
tfidf_word+logreg,10,0.4655,0.4241,0.5050,10
tfidf_word+logreg,20,0.5258,0.4794,0.5670,10
tfidf_word+logreg,50,0.5517,0.5123,0.5922,10
tfidf_word+logreg,100,0.6060,0.5713,0.6428,10
tfidf_word+logreg,all,0.8560,0.8560,0.8560,10
zeroshot_nli,1,0.3954,0.3954,0.3954,10
zeroshot_nli,2,0.3954,0.3954,0.3954,10
zeroshot_nli,3,0.3954,0.3954,0.3954,10
zeroshot_nli,5,0.3954,0.3954,0.3954,10
zeroshot_nli,10,0.3954,0.3954,0.3954,10
zeroshot_nli,20,0.3954,0.3954,0.3954,10
zeroshot_nli,50,0.3954,0.3954,0.3954,10
zeroshot_nli,100,0.3954,0.3954,0.3954,10
zeroshot_nli,all,0.3954,0.3954,0.3954,10
